
iter 3560: loss 1.6291 BPC, time 323.63ms, mfu 7.26%
iter 3570: loss 1.5550 BPC, time 314.91ms, mfu 7.31%
iter 3580: loss 1.6536 BPC, time 331.18ms, mfu 7.33%
iter 3590: loss 1.6607 BPC, time 323.57ms, mfu 7.35%
iter 3600: loss 1.6838 BPC, time 308.56ms, mfu 7.41%
iter 3610: loss 1.7200 BPC, time 323.74ms, mfu 7.43%
iter 3620: loss 1.6859 BPC, time 315.13ms, mfu 7.47%
iter 3630: loss 1.5811 BPC, time 315.13ms, mfu 7.50%
iter 3640: loss 1.5996 BPC, time 324.81ms, mfu 7.51%
iter 3650: loss 1.6062 BPC, time 314.39ms, mfu 7.54%
iter 3660: loss 1.5130 BPC, time 311.57ms, mfu 7.57%
iter 3670: loss 1.5859 BPC, time 323.81ms, mfu 7.57%
iter 3680: loss 1.6400 BPC, time 317.28ms, mfu 7.59%
iter 3690: loss 1.6289 BPC, time 305.64ms, mfu 7.63%
iter 3700: loss 1.6596 BPC, time 323.79ms, mfu 7.63%
iter 3710: loss 1.7059 BPC, time 328.38ms, mfu 7.62%
iter 3720: loss 1.5216 BPC, time 318.15ms, mfu 7.63%
iter 3730: loss 1.6276 BPC, time 316.94ms, mfu 7.64%
iter 3740: loss 1.6365 BPC, time 310.53ms, mfu 7.67%
step 3750: train loss 1.5701 BPC, val loss 1.6072 BPC
saving checkpoint to out-enwik-char
iter 3750: loss 1.5994 BPC, time 37192.98ms, mfu 6.91%
iter 3760: loss 1.6628 BPC, time 312.83ms, mfu 7.00%
iter 3770: loss 1.5676 BPC, time 323.14ms, mfu 7.06%
iter 3780: loss 1.5262 BPC, time 322.74ms, mfu 7.12%
iter 3790: loss 1.5011 BPC, time 310.99ms, mfu 7.19%
iter 3800: loss 1.5758 BPC, time 320.93ms, mfu 7.24%
